year,model,hallucination_rate_pct,factual_consistency_pct,answer_rate_pct,avg_summary_words
2024,GPT 4 Turbo,2.5,97.5,100.0,86.2
2024,Snowflake Arctic,2.6,97.4,100.0,68.7
2024,Intel Neural Chat 7B,2.8,97.2,89.5,57.6
2024,01-AI Yi-1.5-34B-Chat,3.0,97.0,100.0,83.7
2024,GPT 4,3.0,97.0,100.0,81.1
2024,GPT 4o mini,3.1,96.9,100.0,76.3
2024,Microsoft Orca-2-13b,3.2,96.8,100.0,66.2
2024,Qwen2-72B-Instruct,3.5,96.5,100.0,100.1
2024,GPT 3.5 Turbo,3.5,96.5,99.6,84.1
2024,Mistral-Large2,3.6,96.4,100.0,77.4
2024,01-AI Yi-1.5-9B-Chat,3.7,96.3,100.0,85.7
2024,GPT 4o,3.7,96.3,100.0,77.8
2024,Cohere Command R Plus,3.8,96.2,100.0,71.2
2024,Mixtral 8x22B,3.8,96.2,99.9,92.0
2024,Cohere Command R,3.9,96.1,99.9,51.2
2024,Microsoft Phi-3-mini-128k,4.1,95.9,100.0,60.1
2024,01-AI Yi-1.5-6B-Chat,4.1,95.9,100.0,98.9
2024,Zhipu AI GLM-4-9B-Chat,4.2,95.8,100.0,58.1
2024,Mistral 7B Instruct-v0.2,4.5,95.5,100.0,106.1
2024,Llama-3.1-405B-Instruct,4.5,95.5,99.6,86.1
2024,Llama 3 70B,4.5,95.5,99.2,68.5
2024,Google Gemini 1.5 Pro,4.6,95.4,89.3,82.1
2024,Google Gemini Pro,4.8,95.2,98.4,89.5
2024,Llama-3.1-70B-Instruct,5.0,95.0,100.0,79.6
2024,Microsoft WizardLM-2-8x22B,5.0,95.0,99.9,140.8
2024,Microsoft Phi-3-mini-4k,5.1,94.9,100.0,86.8
2024,Llama 2 70B,5.1,94.9,99.9,84.9
2024,Google Gemini 1.5 Flash,5.3,94.7,98.1,62.8
2024,Llama 3 8B,5.4,94.6,99.8,79.7
2024,Llama-3.1-8B-Instruct,5.5,94.5,100.0,71.0
2024,Llama 2 7B,5.6,94.4,99.6,119.9
2024,Llama 2 13B,5.9,94.1,99.8,82.1
2024,Anthropic Claude 3 Sonnet,6.0,94.0,100.0,108.5
